Number,Gene Name
779,B4GAT1
780,TMEM119
781,CLDN20
782,DGAT1
783,HRH1
784,CD302
785,YIF1A
786,ADAM29
787,SLC2A3
788,CLSTN1
789,GJA9
790,OR13C7
791,SLC23A2
792,EPHA2
793,C3orf80
794,GCNT2
795,OR5W2
796,SEC61B
797,HLA-DPB1
798,PSEN1
799,OR4C11
800,IL22RA1
801,SLC2A12
802,TAS2R45
803,GTSCR1
804,ATF6B
805,PTPRM
806,TSPAN4
807,SMIM34B
808,INSIG1
809,TENM4
810,FLRT2
811,MARCHF5
812,BEAN1
813,LRBA
814,TOR1AIP2
815,SYT2
816,MPV17
817,TMEM14DP
818,CCSMST1
819,SFT2D3
820,FASLG
821,IL17RA
822,PIGQ
823,HACD2
824,SLC7A4
825,PCSK5
826,OR6K6
827,MANSC4
828,SCN10A
829,MT-ATP8
830,TNFSF10
831,SLC7A6
832,TMEM39B
833,KCNA10
834,OR14C36
835,FCGR1A
836,GPRC5B
837,TSPAN5
838,OR4A5
839,FZD8
840,DNER
841,CHPF
842,ABCA9
843,OR2AK2
844,MFSD4A
845,ST6GALNAC3
846,SLC25A29
847,PTGER4
848,TLR5
849,CLGN
850,TMPRSS11F
851,SLC16A12
852,CKAP4
853,C17orf80
854,PIGP
855,KREMEN1
856,CMTM6
857,SLC22A23
858,AQP10
859,TMPO
860,TMEM229B
861,TEX261
862,FKTN
863,ALG8
864,TMEM161A
865,GALNT17
866,ATP2B3
867,FAM171B
868,PTGER2
869,ERGIC2
870,SLC38A3
871,OR51E2
872,OR4S2
873,INSIG2
874,IL5RA
875,CNPPD1
876,TMEM35A
877,KCNJ5
878,B4GALNT2
879,TYRP1
880,OR2G6
881,ATP8B2
882,LRRTM2
883,SCN1A
884,LAYN
885,GRM7
886,MCHR2
887,PNPLA7
888,GRIN2C
889,OR1E1
890,CLPTM1
891,ABCC4
892,SLC22A14
893,NCMAP
894,BCS1L
895,SUSD2
896,SPAG4
897,PLD4
898,GRIN2A
899,PNPLA2
900,TAS2R40
901,ABCG4
902,OR4D5
903,TMEM9
904,ATP6AP2
905,RNF112
906,TRDN
907,CACNG2
908,TMEM203
909,SERINC4
910,AQP3
911,CDHR5
912,KCNJ1
913,TM2D3
914,CLDN34
915,ATP6AP1
916,ADGRA1
917,IL2RG
918,GPR62
919,SYNJ2BP
920,OR2T11
921,P2RY2
922,COA3
923,CD99
924,EMP1
925,DPP10
926,ATAD1
927,MRC1
928,PCDHGA12
929,CLDN25
930,TEX51
931,GPM6A
932,SYT3
933,TMEM81
934,TMEM114
935,OR5AL1
936,FREM2
937,DCBLD2
938,ABCD1
939,GPR161
940,CYP3A4
941,TM9SF1
942,SLC2A10
943,GPR18
944,PIGC
945,ACVR1
946,GPR142
947,OR1G1
948,OR2T27
949,GPR173
950,NRG1
951,CTXN3
952,RXYLT1
953,FOCAD
954,TAS2R30
955,CNR1
956,KCNC4
957,OR1F2P
958,TMEM191B
959,OR2A25
960,BTNL9
961,KCNU1
962,B3GALNT1
963,OR2AE1
964,KLRB1
965,STRIT1
966,TMEM11
967,RNF130
968,CLEC2D
969,FUT2
970,RPRML
971,GPBAR1
972,DIO1
973,PCDHGA8
974,C2CD2
975,HACD3
976,SYNGR4
977,ARMC10
978,ADAM18
979,CHPT1
980,TMEM249
981,NDUFB8
982,IL20RB
983,ITGA3
984,HTR3B
985,SLC13A3
986,SYNE2
987,ADCY4
988,LRRC8C
989,ABCC12
990,P2RY1
991,CRELD1
992,GOLM1
993,SV2A
994,PLAAT2
995,OR4C12
996,OR52H1
997,SYT11
998,STX3
999,A4GNT
1000,KCNK10
1001,CSMD3
1002,IGFLR1
1003,PTPRJ
1004,PRRT4
1005,MC3R
1006,CREB3L3
1007,TMEM8B
1008,SMIM33
1009,TAAR6
1010,SLC22A18
1011,SLC44A2
1012,OR9A4
1013,PKD1L3
1014,C8orf49
1015,OR7E24
1016,EGF
1017,XCR1
1018,UBR3
1019,PTPRF
1020,CD200R1L
1021,CD247
1022,SSMEM1
1023,SLC25A11
1024,LMAN2
1025,NKAIN1
1026,IGSF5
1027,CANT1
1028,FAM74A7
1029,FIBCD1
1030,ABO
1031,MS4A2
1032,FAM241B
1033,CDH26
1034,IL11RA
1035,TLCD5
1036,DIPK1A
1037,OR8G3P
1038,SPTSSA
1039,TMEM134
1040,DDOST
1041,GPR148
1042,OR4S1
1043,GAL3ST3
1044,DAG1
1045,TRDC
1046,TCTN3
1047,YIPF6
1048,SLC25A40
1049,SLC22A1
1050,CACNA1A
1051,NKAIN2
1052,TMC1
1053,IRAG1
1054,LRRC26
1055,SDR42E1
1056,NOMO2
1057,IFITM10
1058,FADS6
1059,PARP16
1060,NLGN3
1061,PKD1L2
1062,CHRNA9
1063,ABCC9
1064,ATP6V0E2
1065,SNPH
1066,ADGRF2
1067,OR10K1
1068,PGAP6
1069,LRRC25
1070,ABCB11
1071,SLC16A14
1072,KCNC3
1073,CD300C
1074,ITGB5
1075,COMTD1
1076,FRRS1L
1077,SLC52A1
1078,OR5AC2
1079,RNF5
1080,PRNP
1081,OR1K1
1082,KIR2DL5A
1083,ERVS71-1
1084,TRB
1085,SUN1
1086,CDH7
1087,ZDHHC14
1088,OR2A2
1089,HCRTR2
1090,ADCK2
1091,SLC6A20
1092,DPY19L2
1093,LSR
1094,RNF145
1095,CYP20A1
1096,SLC25A10
1097,PRR7
1098,CYP7B1
1099,ADTRP
1100,CYBB
1101,HIGD1A
1102,OR8U3
1103,SLC17A5
1104,ATAD3A
1105,BMPR1B
1106,IGSF1
1107,CD81
1108,OPN1MW
1109,RTN2
1110,NMUR2
1111,PCDHB4
1112,SLC6A15
1113,MFAP3
1114,SLC25A21
1115,TIMM50
1116,FCER1G
1117,P2RX2
1118,ERLIN2
1119,CHRNA3
1120,SLC16A11
1121,TTYH2
1122,NLGN4X
1123,XKR3
1124,SLC35E3
1125,OR2L5
1126,LYSMD3
1127,SLC25A3
1128,NCKAP1
1129,MT-CO1
1130,FAM187B
1131,SMIM32
1132,OR11G2
1133,PMP22
1134,MARCHF4
1135,RNF185
1136,SV2C
1137,IL21R
1138,TPTE
