Number,Gene Name, SCimilarity Attribution Score, Transmembrane Domain?
7135,SLC8B1,3.281331704520121e-05,True
7136,DZIP1,3.281315616604069e-05,False
7137,SPDYE3,3.280540985190845e-05,False
7138,NKAP,3.2793761794035056e-05,False
7139,AP3M1,3.2762127850700244e-05,False
7140,PMM2,3.2757294539251514e-05,False
7141,DPY30,3.275619268572344e-05,False
7142,TIPRL,3.273792090952997e-05,False
7143,EXOC3,3.272691752040918e-05,False
7144,RCOR1,3.271589238504484e-05,False
7145,EAPP,3.271522965511117e-05,False
7146,THUMPD3,3.271219792191188e-05,False
7147,ZNF684,3.269851891143537e-05,False
7148,SRP9,3.268327369515091e-05,False
7149,UBE2F,3.267107389409349e-05,False
7150,DTX2,3.2655329504053686e-05,False
7151,SETD9,3.2647964782614775e-05,False
7152,ORAOV1,3.264370824196557e-05,False
7153,HSF2,3.263902970335805e-05,False
7154,CWF19L1,3.2636269276821995e-05,False
7155,DNAJC2,3.262774178960179e-05,False
7156,TOX2,3.262206301973098e-05,False
7157,TMEM79,3.260865667986064e-05,True
7158,ARCN1,3.259466633509328e-05,False
7159,BRD9,3.257079656556087e-05,False
7160,PTH2R,3.256604218592602e-05,True
7161,KDM5C,3.256522414850338e-05,False
7162,SETDB1,3.256133284999515e-05,False
7163,TUBA1C,3.255103921704888e-05,False
7164,LRRC39,3.254768713515604e-05,False
7165,PIGH,3.254234288382172e-05,False
7166,PIK3R4,3.252347255412044e-05,False
7167,RPS3,3.251959391096177e-05,False
7168,TNFAIP8,3.2518364700471634e-05,False
7170,COX7B,3.2514559976319845e-05,True
7171,AGAP9,3.250464504289312e-05,False
7172,RNF126,3.250286280857575e-05,False
7173,KCTD9,3.2501144651317724e-05,False
7174,POLR2D,3.25004292632859e-05,False
7175,OCLN,3.249644137380156e-05,True
7176,CCT5,3.2487284521121394e-05,False
7178,RBMS2,3.2453548466129815e-05,False
7179,SGTB,3.244850105700328e-05,False
7180,DCTN3,3.244713801649787e-05,False
7181,AP3S2,3.244596346284131e-05,False
7182,EIF2S1,3.241784298580367e-05,False
7183,SNIP1,3.24094050765977e-05,False
7184,MSANTD3,3.239232616260422e-05,False
7185,PAX6,3.2391973045951704e-05,False
7186,MAZ,3.2388594929773606e-05,False
7187,TBCE,3.237964033024475e-05,False
7188,CDH23,3.2366363063528624e-05,True
7190,CNOT9,3.235978791711894e-05,False
7191,B4GAT1,3.235880146174295e-05,True
7192,ADARB1,3.235743035342963e-05,False
7193,RBKS,3.234965350750914e-05,False
7194,DAP3,3.2333387760433345e-05,False
7195,TMEM116,3.233043723932059e-05,True
7196,HS6ST2,3.232901587079378e-05,True
7197,B4GALNT3,3.232272584613686e-05,True
7198,MAPK4,3.231653038635076e-05,False
7199,EEF2,3.2316364993190606e-05,False
7200,RPL18,3.231008641396967e-05,False
7201,ZNF460,3.230815923993047e-05,False
7202,SELL,3.230644100833223e-05,True
7203,WBP11,3.2291695516115126e-05,False
7204,ECSIT,3.228866769714338e-05,False
7206,EXOSC6,3.22824391043321e-05,False
7207,HMGN1,3.228127557666811e-05,False
7208,DCBLD1,3.22744147111049e-05,True
7209,UQCRC1,3.227288322378061e-05,False
7210,BSN,3.2272259898158725e-05,False
7211,PIWIL4,3.226402172388954e-05,False
7212,ARL5B,3.226311840495717e-05,False
7213,ZFP2,3.226270196014482e-05,False
7214,AP1M1,3.2260721504040005e-05,False
