Number,Gene Name
835,TMEM147
836,OR5L2
837,RDH10
838,ALG2
839,NDFIP2
840,EPHA2
841,CLDN34
842,KCNK17
843,OR1N2
844,LHFPL2
845,PTPRB
846,STEAP1
847,TRBC1
848,CYP51A1
849,SLC7A5P2
850,B4GALT6
851,FURIN
852,CYP4F3
853,LRIG1
854,LCT
855,B3GNT5
856,OR2B6
857,SLC66A1
858,OR9A2
859,PCDHA2
860,BCL2L1
861,CDH8
862,CD28
863,S1PR4
864,AMIGO2
865,OR2F2
866,DHRS7B
867,TMED10
868,TAS2R19
869,NRSN2
870,INTS1
871,KCNH4
872,CXorf66
873,NOX3
874,SLC22A2
875,SLC14A2
876,PLGRKT
877,OR52E4
878,SGPL1
879,KCNMB3
880,TNFRSF21
881,TMEM255B
882,SLC35A2
883,SLC26A10
884,KCNN2
885,TOR4A
886,MPV17
887,FMO1
888,TGOLN2
889,FAM210A
890,EPHA10
891,KMO
892,SLC39A10
893,CLEC4F
894,KNCN
895,ATP2A1
896,MUC3A
897,PIEZO2
898,GABRG1
899,TGFA
900,CCR2
901,SEMA5A
902,CDH9
903,SLC24A1
904,ADAM20
905,PRSS8
906,MT-ND6
907,MGST2
908,CHRNA3
909,MRS2
910,SLC4A11
911,LMAN1
912,B3GALT1
913,OR7A17
914,PCDHAC1
915,OXA1L
916,ERBB2
917,GPR20
918,ITGA9
919,TMEM200B
920,CMTM6
921,TUSC3
922,TMED7
923,AQP10
924,C3orf80
925,ADGRF2
926,CDH15
927,BVES
928,IL4R
929,KLRD1
930,OR5J2
931,SLC12A7
932,PARL
933,ATP13A2
934,SPATA31C2
935,EXT1
936,SERINC4
937,KCNJ9
938,ARMCX2
939,CHPF2
940,TTMP
941,SMIM29
942,TMPRSS3
943,PGRMC2
944,CTXND2
945,SLC25A22
946,ST7
947,GALNT6
948,GPAT2
949,OR10W1
950,ERN1
951,TCP11
952,CYP7B1
953,IGSF3
954,TMEM132A
955,ZDHHC9
956,ZDHHC15
957,B3GALT9
958,SLC35A1
959,PCDH7
960,OR6B3
961,ANO8
962,PCDHA4
963,DPY19L2P2
964,MS4A10
965,COX7A2
966,ZDHHC17
967,SMIM34
968,EDEM1
969,SUN3
970,CPT1A
971,CATSPERB
972,MGAT5B
973,ADAM2
974,KCNE2
975,OR2AP1
976,DRAM2
977,TMEM175
978,ROMO1
979,PTPRN2
980,SLC25A47
981,ADAM18
982,SLC12A3
983,LRRC3
984,FAM205C
985,OR9G1
986,OR2A25
987,ADAM23
988,CNST
989,MUC13
990,STMP1
991,KIR3DL1
992,AADACL4
993,C1orf43
994,ALCAM
995,NPIPB13
996,PTGER1
997,CXCL16
998,TAS2R33
999,CLEC4M
1000,SLC25A52
1001,MPV17L2
1002,OR7A10
1003,SLC12A9
1004,CHRM3
1005,TPO
1006,A8MWL6
1007,ZDHHC23
1008,CCDC163
1009,SPEM3
1010,LMBRD2
1011,CDRT15L2
1012,GPR17
1013,IL18R1
1014,DGAT2
1015,SLC9A7
1016,ILDR1
1017,SLC1A1
1018,GABRR1
1019,SLAMF6
1020,HACD3
1021,SEC11B
1022,LPAR5
1023,VANGL2
1024,TIMD4
1025,SLC6A5
1026,ADAM15
1027,SLC1A4
1028,OR5AK3P
1029,MPZL1
1030,ST3GAL3
1031,OR8H1
1032,ATP5MC2
1033,IL1RL2
1034,TMEM50A
1035,DNAJC4
1036,HSD3B2
1037,PCDHA7
1038,MYMX
1039,TYRO3
1040,LTK
1041,CCR9
1042,CX3CR1
1043,FAM74A1
1044,ITPRIPL2
1045,SLC5A11
1046,HAS1
1047,POMGNT1
1048,MAL
1049,CPD
1050,TMEM53
1051,TMEM131L
1052,CLCNKA
1053,ADAM21
1054,Q9N2K0
1055,TMIGD3
1056,PLD3
1057,TMEM263
1058,PAQR7
1059,FGFRL1
1060,HPN
1061,TOMM20
1062,CD163
1063,OR4N5
1064,CD163L1
1065,OR10H3
1066,FXYD5
1067,RNF19A
1068,EXTL3
1069,NPFFR2
1070,GABRG2
1071,ADRA2A
1072,TMEM98
1073,Q13948
1074,FIS1
1075,JAG1
1076,OR7G3
1077,ARMCX6
1078,TMEM190
1079,RER1
1080,PIGBOS1
1081,IFNAR1
1082,CHRM2
1083,SCAMP2
1084,TBXA2R
1085,UGT2A3
1086,SLC40A1
1087,HEPACAM
1088,IGSF6
1089,GABRQ
1090,CNR2
1091,GLMP
1092,SLC35G1
1093,CNGA1
1094,SMCO1
1095,OR4D10
1096,CEBPZOS
1097,TRPC6
1098,ARMH3
1099,ATP1A3
1100,TMEM192
1101,OR52W1
1102,RMDN2
1103,ZNRF3
1104,GPAT4
1105,OR2S2
1106,CEACAM3
1107,YIPF6
1108,SLC4A5
1109,UGT2B11
1110,SPCS3
1111,SFT2D2
1112,OR4F4
1113,OR13C8
1114,LRTM2
1115,FLT3
1116,MYADM
1117,GPR157
1118,GAL3ST4
1119,P4HTM
1120,ABCD3
1121,GASK1B
1122,OTOP3
1123,MBOAT7
1124,COX10
1125,PLA2G6
1126,C9orf57
1127,SPTSSA
1128,KLRC4
1129,LMAN2L
1130,DIPK1B
1131,HTR1E
1132,LRP1B
1133,PMEPA1
1134,SLC15A5
1135,KCNK13
1136,AMIGO1
1137,SLC38A2
1138,BFAR
1139,OR4F17
1140,SV2C
1141,CD96
1142,TREML1
1143,MIGA1
1144,SLC4A10
1145,KCND3
1146,HCAR3
1147,SLC26A2
1148,TYR
1149,ATP11A
1150,TRPM3
1151,SLC9C2
1152,ATP8B2
1153,SLC7A1
1154,ABCC3
1155,DDOST
1156,HIGD1C
1157,AQP11
1158,OR10C1
1159,PCDHA11
1160,SLC28A2
1161,OR6C74
1162,CDH17
1163,SRD5A3
1164,EMP1
1165,CNGA3
1166,OR8U1
1167,SPCS1
1168,SLC22A13
1169,OR4A5
1170,TRPC1
1171,MOSPD1
1172,SCN7A
1173,ITPR3
1174,NPY6R
1175,P2RX3
1176,CALHM4
1177,SLC35C2
1178,MSMO1
1179,TAS2R38
1180,FLRT3
1181,LNPEP
1182,INAFM2
1183,SLCO4C1
1184,MS4A1
1185,ADAM12
1186,RPN2
1187,COX18
1188,UGT1A8
1189,TECR
1190,SMIM15
1191,ATP6V0B
1192,PTPRZ1
1193,LINC00477
1194,MMP15
1195,CD8A
1196,ICAM5
1197,BET1L
1198,DGAT1
1199,EPHA1
1200,ZNF593OS
1201,TIMM22
1202,CLPTM1
1203,SYNDIG1L
1204,ARFGEF3
1205,XKR3
1206,OR1N1
1207,TMEM141
1208,CHRM4
1209,FASLG
1210,PPM1L
1211,ADAM30
1212,UCP3
1213,KCNMB1
1214,HTR6
1215,APRG1
1216,OR4A47
1217,RNF144A
1218,SSR3
1219,SLC43A1
1220,SLC25A35
1221,ERVK-24
1222,ENPEP
1223,SLC25A17
1224,B3GNT7
1225,GPR6
1226,NRM
1227,JPH2
1228,DSCAM
1229,OR8H2
1230,ABCA1
1231,ANO2
1232,TLCD1
1233,CYSTM1
1234,OR5M11
1235,TAP2
1236,SGMS2
1237,SLC27A4
1238,ABCB1
1239,MOGAT2
1240,KCNE5
1241,DHRS3
1242,SLC6A20
1243,CHRFAM7A
1244,SLC13A4
1245,P2RX2
1246,SIGLEC5
1247,SLC44A4
1248,TSPAN33
1249,SLITRK3
1250,PTCRA
1251,USP30
1252,GPR39
1253,ERVW-1
1254,REEP3
1255,GPR160
1256,OR8D2
1257,COX4I1
1258,SIGLEC9
1259,ACVR1C
1260,VDAC2
1261,UGT1A3
1262,TRARG1
1263,ZDHHC13
1264,RNF167
1265,CD27
1266,SUN5
1267,OR51S1
1268,MLANA
1269,OR4C46
1270,SSPN
1271,CHST10
1272,ST3GAL2
1273,MRGPRD
1274,HS6ST1
1275,OR7A2P
1276,SLC25A15
1277,TOMM22
1278,GP1BA
1279,SUCNR1
1280,SYT1
1281,GPER1
1282,NUP210L
1283,SLC25A45
1284,LRP4
1285,SLC25A27
1286,TP53I13
1287,B3GNT6
1288,LBR
1289,OR8K1
1290,SLC13A3
1291,MFSD4A
1292,ST8SIA6
1293,PTCHD4
1294,IFITM2
1295,ATP2C2
1296,OR2Y1
1297,LAT2
1298,MCOLN3
1299,SLC47A1
1300,GRM6
1301,BTC
1302,STT3A
1303,SLCO4A1
1304,NTSR1
1305,TNFSF14
1306,APH1A
1307,PLXNA2
1308,ZDHHC22
1309,NFXL1
1310,CLDND1
1311,CNNM4
1312,SLC35E2B
1313,AQP6
1314,ODF4
1315,BEAN1
1316,RXFP2
1317,PNPLA8
1318,GPNMB
1319,COX6A2
1320,TM4SF4
1321,TMEM161A
1322,TMEM240
1323,PTPRJ
1324,FZD10
1325,MBTPS1
1326,HLA-E
1327,SPATA31D1
1328,IL13RA2
1329,COX6C
1330,PIGT
1331,OR4A16
1332,FLT1
1333,CYB5R1
1334,B3GLCT
1335,FAT1
1336,PKD1L1
1337,OR4C6
1338,SPATA31A3
1339,TMEM243
1340,TRAC
1341,TRBC2
1342,MXRA7
1343,ITGA6
1344,TMEM117
1345,SEC22A
1346,CRTAM
1347,SLC38A1
1348,CPT1C
1349,CNIH4
1350,MS4A7
1351,SLC6A6
1352,OR2W5P
1353,TMEM196
1354,SCARA3
1355,DNAJC15
1356,PLP2
1357,FKBP11
1358,SLC22A7
1359,SLC38A9
1360,DLL3
1361,ATP6V0A1
1362,GLP1R
1363,EPHX4
1364,PLXNB2
1365,TMEM135
1366,OR1E1
1367,BAX
1368,TMEM176B
1369,TSPAN6
1370,TPTE2
1371,OR2M4
1372,SLC25A16
1373,ERVMER34-1
1374,SLC44A3
1375,TMEM108
1376,CD248
1377,PNPLA6
1378,CYP39A1
1379,FMO5
1380,MS4A3
1381,TMPRSS11A
1382,IL10RA
1383,PLPPR1
1384,TMEM239
1385,PPP1R3F
1386,ATP6V0A4
1387,GALNT18
1388,RHCG
1389,UPK3BL2
1390,MUC21
1391,DRD5
1392,TPBG
1393,PCDHGA11
1394,OR2I1P
1395,CLDN8
1396,OR2B3
1397,KRTCAP2
1398,KIAA1109
1399,KCNC3
1400,FXYD2
1401,TIMM21
1402,TMEM128
1403,PTGIR
1404,SLC35G3
1405,FAM171A2
1406,OR10H2
1407,HS3ST5
1408,SCNN1G
1409,INTS5
1410,EMC10
1411,PSENEN
1412,PIANP
1413,CNIH1
1414,CSGALNACT2
1415,SYT2
1416,TMEM203
1417,FZD3
1418,CCRL2
1419,GDPD1
1420,TCTN3
1421,LRFN5
1422,ACSL4
1423,NPR2
1424,KCNV1
1425,TBC1D9B
1426,SGCD
1427,OR5A1
1428,ST3GAL1
1429,C17orf113
1430,CACNG1
1431,SGCA
1432,TMC6
1433,BTBD11
1434,PCDHB6
1435,LPAR1
1436,LRFN2
1437,SUN1
1438,XPR1
1439,TMEM165
1440,NETO1
1441,B4GALT1
1442,STING1
1443,CDH16
1444,COMT
1445,TMPRSS5
1446,OR2M2
1447,SLC2A8
1448,P2RY6
1449,VSTM1
1450,NPY4R2
1451,LRBA
1452,DNAJC16
1453,ATRN
1454,RXYLT1
1455,LRP3
1456,ATP2B2
1457,SDC2
1458,CYB561
1459,GP6
1460,KCNB2
1461,SCNN1A
1462,LRP8
1463,SYT15
1464,MARCHF1
1465,ATP5MC1
1466,NDST1
1467,SACM1L
1468,CTLA4
1469,TM2D3
1470,SLC7A13
1471,TMEM200C
1472,TSPAN9
1473,FCGR2B
1474,EMP3
1475,GABRA1
1476,SLC5A2
1477,SLC2A5
1478,KEL
1479,TLR5
1480,SLC2A6
1481,VSTM4
1482,OR8J1
1483,OR5D16
1484,CEACAM1
1485,KIR2DL5A
1486,SLC18A2
1487,CYYR1
1488,SLC16A9
1489,DCSTAMP
1490,NECTIN1
1491,SHISA5
1492,MILR1
1493,TMEM247
1494,LAG3
1495,IZUMO2
1496,CLRN3
1497,STX1B
1498,FNDC4
1499,GPR31
1500,MPC1L
1501,NECTIN2
1502,SLC7A4
1503,HM13
1504,ACKR3
1505,MAS1
1506,TPSG1
1507,TLCD3B
1508,GPR83
1509,OR3A2
1510,IFITM5
1511,OR4C45
1512,HMGCR
1513,GSG1
1514,FAM174C
1515,ABCG2
1516,TMEM42
1517,SLC4A7
1518,REEP2
1519,TMEM182
1520,FOCAD
1521,SELL
1522,TMEM101
1523,POMK
1524,DPY19L2P1
1525,CHRNE
1526,RHBDL2
1527,SLC6A11
